strategy,annual_return,annual_volatility,sharpe,max_drawdown,final_wealth,exposure,changes
Buy & hold,0.26038801794965916,0.28497112462307195,0.9137347452099627,-0.4539596090224983,4.5213888630269805,1.0,0
GARCH gradual,0.1866047407740008,0.2157460135479348,0.8649278737775642,-0.4638291747614999,3.0511519837561414,0.8452221545952526,229
Quantile LGBM,0.22258530718996372,0.2776502706580326,0.8016750953004129,-0.4682455847718471,3.70720283862003,0.9639379184418746,1108
Hybrid,0.1633615468661569,0.21026630005588398,0.7769269104118878,-0.46848120825477,2.681942386716739,0.8214850882531953,1004
