strategy,block,annual_return,annual_volatility,sharpe,max_drawdown,final_wealth
Buy & hold,2020-2021,0.5745426724734439,0.31718439410764915,1.811383798026488,-0.32877617038500584,2.483654774467658
Buy & hold,2022,-0.4405797859260554,0.3760107888218505,-1.1717211288179206,-0.44220501697796244,0.5607111523753988
Buy & hold,2023-2024,0.6066902075099982,0.2139259441762758,2.8359823762660743,-0.14784665194389657,2.5717568861284366
Buy & hold,2025-2026,0.1647897599362842,0.24728612881105513,0.6663930594432805,-0.266799145929529,1.2624422642378903
GARCH gradual,2020-2021,0.4840889073922314,0.21650705956342386,2.2359035699268817,-0.14453961039228014,2.2059732131476966
GARCH gradual,2022,-0.45131536777643244,0.29532732398855743,-1.5281869678740556,-0.45286734060159617,0.5499930857954222
GARCH gradual,2023-2024,0.4779747901324798,0.19806522753203923,2.4132191000318928,-0.15411133177108183,2.177647038525785
GARCH gradual,2025-2026,0.09880709215043737,0.1657314179129139,0.5961880577305931,-0.1695088715191425,1.154832208294236
Quantile LGBM,2020-2021,0.4636158951059268,0.3081601085921867,1.5044643423314321,-0.3206112936627209,2.14541193116678
Quantile LGBM,2022,-0.45507708768968047,0.3567738750800371,-1.2755336628490257,-0.45666421293393,0.5462373071231948
Quantile LGBM,2023-2024,0.599413348427992,0.21375986834284996,2.804143514284877,-0.14766665126597156,2.548605973257604
Quantile LGBM,2025-2026,0.15194074470551877,0.24548707929845678,0.6189358117735931,-0.2627707285057397,1.2412281098492157
Hybrid,2020-2021,0.4161656634444222,0.2099227190569145,1.9824708126593522,-0.13728719297894731,2.008296259574882
Hybrid,2022,-0.4559038691883751,0.2796561371496565,-1.6302301599210054,-0.4574853175249024,0.5454118176720745
Hybrid,2023-2024,0.4726649572430721,0.19795204131313984,2.3877751101104563,-0.1539326543838745,2.1620898951628993
Hybrid,2025-2026,0.08482766979910394,0.1648187739759811,0.5146723747105764,-0.170061626330125,1.132461311219573
