model,symbol,annual_return,annual_volatility,sharpe,max_drawdown,final_wealth,exposure
Buy & hold,AAPL,0.25599523161581517,0.27447724389287814,0.9326646828169257,-0.3336052159994253,1.7791789961143485,1.0
Buy & hold,AMZN,0.22415857088540347,0.3121566785126005,0.7180963481335707,-0.3087663815291789,1.66737824020712,1.0
Buy & hold,GOOGL,0.45270774954573567,0.30376085139547265,1.4903426411468208,-0.2980586752166867,2.5701033324620566,1.0
Buy & hold,IWM,0.17559553718240295,0.2134095368553581,0.8228101694509359,-0.2750308296302594,1.5052076987174907,1.0
Buy & hold,META,0.2840708527934528,0.3807751466024274,0.7460330731355613,-0.34150813600274077,1.8814333188135672,1.0
Buy & hold,MSFT,0.040585934463927664,0.25063772411415375,0.16193066948470483,-0.34498391700613584,1.1057955076434633,1.0
Buy & hold,NVDA,0.7688491586414423,0.48491812363241915,1.585523660947452,-0.36881030795638137,4.227730532009169,1.0
Buy & hold,QQQ,0.24841964070164924,0.20928163870694072,1.1870111598730066,-0.22768299760038713,1.7521777636560418,1.0
Buy & hold,SPY,0.2095167331999388,0.15780611035284656,1.3276845410578202,-0.18755234225912887,1.6174262122241474,1.0
Buy & hold,TSLA,0.17016143625578706,0.5926845028859783,0.2871028944188929,-0.5376567990142276,1.4876822102815759,1.0
EWMA,AAPL,0.2533138301265392,0.23899532673077536,1.0599112275190778,-0.2393114430441583,1.7695932962760896,0.9387755102040817
EWMA,AMZN,0.12599554459379614,0.27732996071845994,0.4543163827932186,-0.26331973793409313,1.3498119057012912,0.8681318681318682
EWMA,GOOGL,0.3204527631565517,0.2882378098640301,1.1117651889865465,-0.291738002090423,2.019112824887364,0.8791208791208791
EWMA,IWM,0.1634999779731563,0.2095768138828491,0.7801434469012913,-0.26914015568895155,1.4663673846877348,0.978021978021978
EWMA,META,0.12720286100432676,0.3013233497519364,0.42214737460288476,-0.28629172922433466,1.3534733481443368,0.6514913657770801
EWMA,MSFT,0.08482138891689206,0.23765158558866334,0.3569148874255955,-0.283336769730285,1.2285073857478872,0.9246467817896389
EWMA,NVDA,0.4253244005900383,0.22744054892210472,1.8700464917348845,-0.20081619298974118,2.4493998177238785,0.4003139717425432
EWMA,QQQ,0.18093533151037056,0.1901091305439896,0.9517445637283776,-0.2234880517304636,1.5225500270028853,0.9686028257456829
EWMA,SPY,0.20092883166526798,0.15145746285752018,1.326635398971966,-0.18691612821159442,1.588554033463483,0.9748822605965463
EWMA,TSLA,-0.1528686743970895,0.16396055730639789,-0.9323502975866285,-0.329661344959862,0.6574693106626384,0.11616954474097331
GJR-GARCH-t,AAPL,0.2454371062426608,0.2613453244073794,0.9391295092009329,-0.3336052159994253,1.7416156953914048,0.9340659340659341
GJR-GARCH-t,AMZN,0.13843663150148666,0.2933660224973417,0.47189047430583436,-0.29496816268678794,1.3878300571435933,0.9010989010989011
GJR-GARCH-t,GOOGL,0.5228907864633849,0.27770260897920607,1.882916362887099,-0.2086182173437625,2.8956497537350367,0.8351648351648352
GJR-GARCH-t,IWM,0.1489190375175624,0.20856167938713108,0.7140287609649503,-0.2750308296302594,1.4203594680272196,0.967032967032967
GJR-GARCH-t,META,0.11235826653959213,0.33891749885328865,0.33152099528572887,-0.43565658112235683,1.3088693299167846,0.7959183673469388
GJR-GARCH-t,MSFT,0.0508110705685898,0.2474392200446917,0.20534768319837277,-0.3285917894559409,1.1334686312145283,0.967032967032967
GJR-GARCH-t,NVDA,0.49588809352505736,0.23568482384548428,2.1040306517578884,-0.16100771054151508,2.7676175257528812,0.3673469387755102
GJR-GARCH-t,QQQ,0.2253886135661336,0.20300129230648983,1.1102816686794463,-0.22768299760038713,1.6716165119913842,0.967032967032967
GJR-GARCH-t,SPY,0.19560115525509336,0.15092959182542215,1.2959761759731128,-0.18755234225912887,1.570800354963459,0.967032967032967
GJR-GARCH-t,TSLA,0.0,0.0,0.0,0.0,1.0,0.0
DeepAR-style,AAPL,0.057623548565480354,0.08938874101572468,0.6446398943614565,-0.00049987502083082,1.1521357278624422,0.0015698587127158557
DeepAR-style,AMZN,0.0030479591303416154,0.025106043800277814,0.12140340208869897,-0.040436334186299216,1.0077225115238633,0.009419152276295133
DeepAR-style,GOOGL,0.0,0.0,0.0,0.0,1.0,0.0
DeepAR-style,IWM,0.0,0.0,0.0,0.0,1.0,0.0
DeepAR-style,META,0.03499729857567657,0.031527027255292106,1.110072900063927,-0.006656783614510053,1.0908449334868326,0.01098901098901099
DeepAR-style,MSFT,0.007065621164607849,0.011513397141532123,0.6136869142748607,-0.000499875020830709,1.0179568382821802,0.0015698587127158557
DeepAR-style,NVDA,0.048432171935892665,0.07551128939161994,0.6413898150343007,-0.000499875020830709,1.1269935040925734,0.0015698587127158557
DeepAR-style,QQQ,0.0,0.0,0.0,0.0,1.0,0.0
DeepAR-style,SPY,0.0,0.0,0.0,0.0,1.0,0.0
DeepAR-style,TSLA,-0.02953438961600452,0.13429457001713477,-0.21992244073782133,-0.24638648472323854,0.927019165813233,0.026687598116169546
