model,threshold,annual_return,annual_volatility,sharpe,max_drawdown,final_wealth,exposure,turnover_events
Buy & hold,0.0,0.2705851768914904,0.23232724653515385,1.1646725940538691,-0.27524929403046383,1.8318860479749592,1.0,0
EWMA,0.024036303149580895,0.16333660180049026,0.1449853295560108,1.1265733043520794,-0.16787266336347118,1.465846960543183,0.7700156985871272,163
GJR-GARCH-t,0.025742899554728166,0.20312775190859478,0.1549258930305075,1.3111284881772185,-0.18522066538470094,1.5959167877083065,0.7701726844583987,36
DeepAR-style,0.5,0.011852079767384227,0.018554685307643728,0.6387647955690029,-0.0279398193211301,1.030231231431223,0.005180533751962323,44
